barcode,label,shape_descriptor_area,shape_descriptor_centroid_x,shape_descriptor_centroid_y,shape_descriptor_convex_area,shape_descriptor_eccentricity,shape_descriptor_equivalent_diameter,shape_descriptor_euler_number,shape_descriptor_extent,shape_descriptor_filled_area,shape_descriptor_major_axis_length,shape_descriptor_minor_axis_length,shape_descriptor_orientation,shape_descriptor_perimeter,shape_descriptor_solidity,shape_descriptor_weighted_centroid_x_c01,shape_descriptor_weighted_centroid_y_c01,well,z_stack,intensity_mad_c1,intensity_mass_displacement_c1,intensity_max_c1,intensity_mean_c1,intensity_median_c1,intensity_min_c1,intensity_std_c1,intensity_sum_c1,intenstiy_lower_quartile_c1,intenstiy_upper_quartile_c1,intensity_mad_c4,intensity_mass_displacement_c4,intensity_max_c4,intensity_mean_c4,intensity_median_c4,intensity_min_c4,intensity_std_c4,intensity_sum_c4,intenstiy_lower_quartile_c4,intenstiy_upper_quartile_c4,intensity_mad_c2,intensity_mass_displacement_c2,intensity_max_c2,intensity_mean_c2,intensity_median_c2,intensity_min_c2,intensity_std_c2,intensity_sum_c2,intenstiy_lower_quartile_c2,intenstiy_upper_quartile_c2,intensity_mad_c3,intensity_mass_displacement_c3,intensity_max_c3,intensity_mean_c3,intensity_median_c3,intensity_min_c3,intensity_std_c3,intensity_sum_c3,intenstiy_lower_quartile_c3,intenstiy_upper_quartile_c3
180823UM1f4,1,33824,249.91438032166508,211.9522232734153,34760,0.28544112415949946,207.52362362179912,1,0.7818047337278107,33824,212.16741393359297,203.34045306976805,-1.0652194247512428,794.0243866176395,0.97307249712313,257.6546536476221,216.32708581616754,C3,1,25.204237714595234,8.891077180437605,971,191.49045056764427,138.0,105,104.27414461960296,6476973,127.0,240.0,1879.9396130651032,5.9898464010184505,10625,5379.636234626301,5430.0,439,1903.0728842579158,181960816,4143.75,6683.0,56.33888430321287,3.735298623766876,1501,233.82261116367076,209.0,104,112.06087503418757,7908816,175.0,255.0,31.134646588617642,1.887222630577527,718,175.00546948912014,169.0,104,35.49090036385659,5919385,150.0,194.0
180823UM1f4,2,272272,3619.4213727449023,1003.179261914556,276778,0.4219704372650472,588.7847461714105,1,0.7432302585604472,272272,619.4798566852883,561.6263793590919,1.1604504315975415,2309.8721497261417,0.9837198043197075,3620.2149440532485,1008.2930874923092,C3,1,249.07717270894113,5.175033087924449,2415,832.1326357466063,826.0,136,275.02119628231577,226566417,664.0,1001.0,1266.142294603784,14.455884917672709,13789,7856.870996650408,7744.0,877,1495.2517919237298,2139205980,6955.0,8684.0,47.443270992179265,21.428347909068318,3008,242.55332902391726,174.0,107,175.89407324210484,66040480,151.0,261.0,167.53405069113302,18.797120616928154,15437,670.3313047246871,367.0,120,873.0405643553829,182512445,278.0,596.0
180823UM1f4,3,281408,2801.5668637707527,1612.327382306118,291994,0.5777734601112045,598.5814846826058,1,0.7295503567280571,281408,670.7515073899575,547.4654855873467,-1.1340865487549814,2406.457936163769,0.9637458303937753,2795.2901996920486,1612.0527340068616,C3,1,259.45538823848034,6.282670104754815,3227,883.2103031896747,885.0,136,297.9209323514561,248542445,710.0,1061.0,1326.9289855625138,15.480259159347005,10081,5618.57454656584,5580.0,684,1236.6929349900463,1581111826,4697.0,6489.0,35.58245324413445,114.01758738905016,10509,334.52746901296337,164.0,107,471.6809293432943,94138706,146.0,232.0,57.82148652171848,73.55925264192634,12146,336.68599329088016,231.0,114,410.86510543184596,94746132,200.0,290.0
180823UM1f4,4,338128,522.2118724270099,1733.2634032082524,404978,0.9169154843102233,656.1386597223266,1,0.5929573512906846,338128,1123.9960637560628,448.56596610042743,-1.4683567649517455,3247.411254969543,0.8349293048017423,521.4589188292758,1734.3487188964978,C3,1,272.79880820503075,1.3209274255205576,3070,843.7263048313065,832.0,136,305.6342609059991,285287488,656.0,1024.0,1476.6718096315794,14.137295075676462,11200,7042.782792315336,7083.0,803,1342.6263535000987,2381362060,6075.0,8070.0,44.478066555168056,71.56083591442251,5339,232.2490565702929,181.0,105,163.3924874404207,78529909,157.0,230.0,68.19970205125769,58.69757684590777,9465,443.531766076752,256.0,112,604.1016535147907,149970509,221.0,346.0
180823UM1f4,5,301856,1924.939838863564,1973.2907346549348,323110,0.7683744981957035,619.9475752154995,1,0.7077581032412965,301856,804.4863766829859,514.8716773634914,-1.5300652017304133,2602.3746750430837,0.9342205440871529,1928.8599944602267,1976.6740030481228,C3,1,256.49018380146913,5.1782356959092635,3672,918.8537978373794,899.0,157,300.6656859892986,277361532,734.0,1081.0,1639.7580536671958,28.47897102283731,11299,6706.027562811407,6743.0,732,1473.6513547504753,2024254656,5640.0,7850.0,32.61724880712324,8.899772658666992,2202,187.36494222410687,171.0,111,62.18611816405272,56557232,153.0,202.0,44.478066555168056,35.84480756858582,9018,330.4952957701686,242.0,116,365.6121881006573,99761988,215.0,280.0
180823UM1f4,6,302208,2545.7975434138075,2198.4968233799236,314480,0.2344650065641027,620.3089362046335,1,0.6694311536416799,302208,639.0580879806507,621.2440627706841,0.9825916095492293,2565.4701294725883,0.9609768506741287,2539.510862096114,2194.294202129622,C3,1,275.76401264204196,7.562035927163994,2767,928.9840474110547,924.0,129,311.59491452471667,280746411,737.0,1108.0,730.9228937232617,9.282844988182623,6923,4244.648007332698,4272.0,698,764.8818896537218,1282766585,3775.0,4761.0,40.030259899651256,40.860979681066325,3008,216.8743481310885,174.0,104,133.70358567891287,65541163,153.0,219.0,72.6475087067745,80.62459098929324,9733,427.51039350381194,245.0,105,609.5308575903343,129197061,206.0,335.0
180823UM1f4,7,132544,434.39570255915015,2312.0354901014002,134840,0.24047946079712226,410.8044087121965,1,0.7733383121732637,132544,417.5740960289038,405.3200615126911,-1.3006914064795818,1582.2914139223983,0.982972411747256,434.3351422916722,2316.466076297302,C3,1,232.7685483053795,4.431000066047498,2525,695.4069139304684,690.0,142,259.38376496310843,92172014,529.0,844.0,1212.7686147375823,5.344739268573069,11439,6962.686526738291,7057.0,1143,1308.5186413188947,922862323,6206.0,7844.0,28.169442151606436,5.495288548853745,1757,179.84196191453404,170.0,107,46.522674753043255,23836973,153.0,193.0,29.65204437011204,1.4291535459723144,1438,206.8265406204732,202.0,107,41.56922201293407,27413617,183.0,224.0
180823UM1f4,8,158208,2221.8284789644013,2493.9057443365696,162448,0.7784869068619625,448.81698039786846,1,0.6939921392476137,158208,572.2571184773126,359.1833863120643,1.1042248626526339,1840.2325394193526,0.9738993400965232,2214.0059684126827,2492.83685268468,C3,1,256.49018380146913,7.895201118098974,2610,842.0243224110033,836.0,146,282.89969934467274,133214984,664.0,1009.0,1346.2028144030867,18.806240352720014,8743,5303.671609526699,5277.0,730,1219.6856102626546,839083278,4429.0,6256.0,20.756431059078427,8.805581035432382,1722,162.57356138754045,151.0,108,50.98344178549618,25720438,139.0,168.0,22.239033277584028,1.1606912701823995,746,188.17521869943366,181.0,107,36.998428118878316,29770825,167.0,199.0
180823UM1f4,9,239568,2916.625893274561,2889.750851532759,253884,0.7628832152053981,552.29290349697,1,0.7034531360112756,239568,707.421043439292,457.3733909373469,-0.5305892048917727,2288.031529292576,0.9436120432953632,2916.2814789527592,2874.802878175762,C3,1,171.98185734664983,14.951940633461247,1544,555.7870124557537,552.0,131,182.26675731266047,133148783,438.0,669.0,1085.2648239461007,14.101473892612294,10172,4918.263127796701,4886.0,1023,1091.6908251743596,1178258461,4133.0,5597.0,23.721635496089633,16.25716694677643,1444,155.9924238629533,145.0,102,58.25316054793662,37370793,130.0,163.0,22.239033277584028,88.32317012759084,6200,244.0359021238229,171.0,105,356.5519059409516,58463193,158.0,190.0
